Steps    Con      Chain    Chi      Excluded Rama     Contact  Fragment Beta     Pap      Helical  DH       Total   
0        1152.76  877.39   219.43   68.32    -2279.76 -1488.19 -5679.53 -388.65  -154.03  -122.98  -16.25   -7811.48
1        1153.52  889.75   220.71   69.42    -2290.01 -1475.07 -5667.34 -385.42  -149.51  -117.97  -15.18   -7767.10
2        1158.53  883.71   217.92   78.88    -2272.36 -1483.35 -5654.47 -423.78  -152.88  -116.87  -15.04   -7779.70
3        1196.56  862.15   207.03   75.71    -2246.39 -1501.29 -5665.61 -408.66  -155.32  -116.87  -16.56   -7769.24
4        1239.00  865.75   215.61   81.36    -2267.40 -1480.81 -5672.41 -392.17  -150.23  -118.63  -15.50   -7695.43
5        1204.65  862.08   209.23   81.91    -2249.93 -1486.82 -5675.73 -379.67  -150.04  -127.48  -14.79   -7726.58
6        1205.96  857.11   230.02   65.00    -2283.53 -1478.49 -5670.30 -389.49  -150.26  -118.64  -15.83   -7748.45
7        1198.95  875.50   221.84   89.41    -2261.77 -1485.50 -5655.46 -398.98  -152.59  -122.73  -13.83   -7705.16
8        1216.31  891.21   214.85   70.44    -2251.98 -1504.88 -5663.44 -383.72  -153.30  -117.83  -15.62   -7697.96
9        1229.11  872.87   219.60   65.92    -2301.83 -1488.72 -5668.70 -374.03  -152.41  -117.73  -16.34   -7732.27
10       1240.42  874.00   228.94   75.55    -2260.83 -1502.68 -5662.04 -396.69  -150.17  -124.44  -17.39   -7695.33
11       1214.83  875.88   221.04   75.41    -2239.62 -1484.18 -5657.93 -401.22  -151.73  -121.64  -16.46   -7685.61
12       1190.76  873.30   209.63   73.22    -2266.08 -1506.35 -5668.43 -400.84  -155.48  -121.27  -16.19   -7787.71
13       1208.97  883.52   236.61   85.34    -2248.99 -1483.64 -5673.08 -383.97  -152.63  -124.32  -16.88   -7669.08
14       1179.26  867.01   219.62   71.25    -2265.05 -1490.25 -5674.06 -408.89  -150.63  -119.33  -15.85   -7786.92
15       1206.14  918.24   220.84   63.73    -2263.50 -1485.26 -5667.31 -408.43  -152.94  -124.66  -16.62   -7709.78
16       1172.65  874.40   217.37   84.52    -2274.75 -1473.37 -5668.81 -412.43  -151.51  -118.96  -14.91   -7765.80
17       1189.77  883.11   225.76   71.84    -2269.40 -1487.86 -5655.92 -404.00  -156.38  -118.10  -14.38   -7735.57
18       1213.58  847.78   217.02   93.13    -2260.43 -1493.64 -5671.36 -396.34  -152.15  -126.18  -15.65   -7744.24
19       1187.61  887.41   204.25   69.80    -2274.08 -1481.21 -5657.99 -399.91  -150.74  -122.09  -14.45   -7751.42
